--- Hasil Analisis Kinerja Solver ---

Konfigurasi      : 3.txt (30x30, 135 bom)
Solver Digunakan : Hybrid (Greedy + CSP)
Jumlah Percobaan : 1000

--- Ringkasan Statistik ---
Jumlah Keberhasilan: 687 (68.70%)
Jumlah Kegagalan   : 313
Rata-rata Waktu    : 28.11 ms (untuk percobaan yang berhasil)
Rata-rata Langkah  : 401.87 langkah (untuk percobaan yang berhasil)

--- Rincian Percobaan yang Berhasil ---
Percobaan #177: Waktu = 26 ms, Langkah = 333
Percobaan #178: Waktu = 26 ms, Langkah = 389
Percobaan #179: Waktu = 30 ms, Langkah = 439
Percobaan #180: Waktu = 28 ms, Langkah = 379
Percobaan #181: Waktu = 27 ms, Langkah = 391
Percobaan #182: Waktu = 29 ms, Langkah = 411
Percobaan #183: Waktu = 27 ms, Langkah = 355
Percobaan #184: Waktu = 34 ms, Langkah = 427
Percobaan #185: Waktu = 47 ms, Langkah = 434
Percobaan #186: Waktu = 31 ms, Langkah = 427
Percobaan #187: Waktu = 34 ms, Langkah = 400
Percobaan #188: Waktu = 31 ms, Langkah = 360
Percobaan #189: Waktu = 35 ms, Langkah = 438
Percobaan #190: Waktu = 33 ms, Langkah = 402
Percobaan #191: Waktu = 31 ms, Langkah = 413
Percobaan #192: Waktu = 27 ms, Langkah = 393
Percobaan #193: Waktu = 26 ms, Langkah = 366
Percobaan #194: Waktu = 29 ms, Langkah = 382
Percobaan #195: Waktu = 31 ms, Langkah = 436
Percobaan #196: Waktu = 28 ms, Langkah = 428
Percobaan #197: Waktu = 28 ms, Langkah = 407
Percobaan #198: Waktu = 29 ms, Langkah = 405
Percobaan #199: Waktu = 27 ms, Langkah = 391
Percobaan #200: Waktu = 28 ms, Langkah = 402
Percobaan #201: Waktu = 24 ms, Langkah = 380
Percobaan #202: Waktu = 35 ms, Langkah = 435
Percobaan #203: Waktu = 27 ms, Langkah = 456
Percobaan #204: Waktu = 28 ms, Langkah = 407
Percobaan #205: Waktu = 25 ms, Langkah = 394
Percobaan #206: Waktu = 23 ms, Langkah = 385
Percobaan #207: Waktu = 24 ms, Langkah = 380
Percobaan #208: Waktu = 25 ms, Langkah = 355
Percobaan #209: Waktu = 26 ms, Langkah = 408
Percobaan #210: Waktu = 27 ms, Langkah = 417
Percobaan #211: Waktu = 28 ms, Langkah = 417
Percobaan #212: Waktu = 26 ms, Langkah = 381
Percobaan #213: Waktu = 26 ms, Langkah = 368
Percobaan #214: Waktu = 27 ms, Langkah = 419
Percobaan #215: Waktu = 28 ms, Langkah = 422
Percobaan #216: Waktu = 25 ms, Langkah = 360
Percobaan #217: Waktu = 28 ms, Langkah = 439
Percobaan #218: Waktu = 28 ms, Langkah = 447
Percobaan #219: Waktu = 29 ms, Langkah = 440
Percobaan #220: Waktu = 24 ms, Langkah = 360
Percobaan #221: Waktu = 26 ms, Langkah = 445
Percobaan #222: Waktu = 29 ms, Langkah = 411
Percobaan #223: Waktu = 24 ms, Langkah = 404
Percobaan #224: Waktu = 26 ms, Langkah = 373
Percobaan #225: Waktu = 25 ms, Langkah = 380
Percobaan #226: Waktu = 25 ms, Langkah = 390
Percobaan #227: Waktu = 26 ms, Langkah = 426
Percobaan #228: Waktu = 30 ms, Langkah = 438
Percobaan #229: Waktu = 28 ms, Langkah = 434
Percobaan #230: Waktu = 26 ms, Langkah = 349
Percobaan #231: Waktu = 24 ms, Langkah = 351
Percobaan #232: Waktu = 29 ms, Langkah = 397
Percobaan #233: Waktu = 27 ms, Langkah = 438
Percobaan #234: Waktu = 28 ms, Langkah = 449
Percobaan #235: Waktu = 28 ms, Langkah = 428
Percobaan #236: Waktu = 30 ms, Langkah = 434
Percobaan #237: Waktu = 28 ms, Langkah = 408
Percobaan #238: Waktu = 24 ms, Langkah = 383
Percobaan #239: Waktu = 25 ms, Langkah = 405
Percobaan #240: Waktu = 23 ms, Langkah = 374
Percobaan #241: Waktu = 23 ms, Langkah = 382
Percobaan #242: Waktu = 25 ms, Langkah = 400
Percobaan #243: Waktu = 23 ms, Langkah = 372
Percobaan #244: Waktu = 24 ms, Langkah = 403
Percobaan #245: Waktu = 31 ms, Langkah = 368
Percobaan #246: Waktu = 29 ms, Langkah = 425
Percobaan #247: Waktu = 26 ms, Langkah = 401
Percobaan #248: Waktu = 27 ms, Langkah = 411
Percobaan #249: Waktu = 23 ms, Langkah = 381
Percobaan #250: Waktu = 26 ms, Langkah = 356
Percobaan #251: Waktu = 30 ms, Langkah = 444
Percobaan #252: Waktu = 34 ms, Langkah = 436
Percobaan #253: Waktu = 24 ms, Langkah = 364
Percobaan #254: Waktu = 25 ms, Langkah = 375
Percobaan #255: Waktu = 23 ms, Langkah = 368
Percobaan #256: Waktu = 25 ms, Langkah = 367
Percobaan #257: Waktu = 26 ms, Langkah = 408
Percobaan #258: Waktu = 31 ms, Langkah = 389
Percobaan #259: Waktu = 25 ms, Langkah = 405
Percobaan #260: Waktu = 25 ms, Langkah = 394
Percobaan #261: Waktu = 25 ms, Langkah = 402
Percobaan #262: Waktu = 27 ms, Langkah = 414
Percobaan #263: Waktu = 25 ms, Langkah = 392
Percobaan #264: Waktu = 33 ms, Langkah = 403
Percobaan #265: Waktu = 26 ms, Langkah = 351
Percobaan #266: Waktu = 30 ms, Langkah = 414
Percobaan #267: Waktu = 26 ms, Langkah = 422
Percobaan #268: Waktu = 30 ms, Langkah = 452
Percobaan #269: Waktu = 29 ms, Langkah = 430
Percobaan #270: Waktu = 35 ms, Langkah = 399
Percobaan #271: Waktu = 23 ms, Langkah = 399
Percobaan #272: Waktu = 26 ms, Langkah = 376
Percobaan #273: Waktu = 27 ms, Langkah = 415
Percobaan #274: Waktu = 27 ms, Langkah = 409
Percobaan #275: Waktu = 27 ms, Langkah = 428
Percobaan #276: Waktu = 22 ms, Langkah = 393
Percobaan #277: Waktu = 24 ms, Langkah = 374
Percobaan #278: Waktu = 24 ms, Langkah = 394
Percobaan #279: Waktu = 28 ms, Langkah = 440
Percobaan #280: Waktu = 56 ms, Langkah = 464
Percobaan #281: Waktu = 28 ms, Langkah = 405
Percobaan #282: Waktu = 29 ms, Langkah = 398
Percobaan #283: Waktu = 25 ms, Langkah = 376
Percobaan #284: Waktu = 26 ms, Langkah = 406
Percobaan #285: Waktu = 26 ms, Langkah = 393
Percobaan #286: Waktu = 22 ms, Langkah = 332
Percobaan #287: Waktu = 24 ms, Langkah = 380
Percobaan #288: Waktu = 24 ms, Langkah = 358
Percobaan #289: Waktu = 29 ms, Langkah = 420
Percobaan #290: Waktu = 25 ms, Langkah = 392
Percobaan #291: Waktu = 30 ms, Langkah = 394
Percobaan #292: Waktu = 26 ms, Langkah = 375
Percobaan #293: Waktu = 29 ms, Langkah = 388
Percobaan #294: Waktu = 30 ms, Langkah = 409
Percobaan #295: Waktu = 30 ms, Langkah = 363
Percobaan #296: Waktu = 27 ms, Langkah = 381
Percobaan #297: Waktu = 26 ms, Langkah = 376
Percobaan #298: Waktu = 31 ms, Langkah = 411
Percobaan #299: Waktu = 30 ms, Langkah = 419
Percobaan #300: Waktu = 31 ms, Langkah = 397
Percobaan #301: Waktu = 31 ms, Langkah = 408
Percobaan #302: Waktu = 31 ms, Langkah = 392
Percobaan #303: Waktu = 29 ms, Langkah = 413
Percobaan #304: Waktu = 33 ms, Langkah = 433
Percobaan #305: Waktu = 33 ms, Langkah = 439
Percobaan #306: Waktu = 31 ms, Langkah = 373
Percobaan #307: Waktu = 30 ms, Langkah = 419
Percobaan #308: Waktu = 32 ms, Langkah = 439
Percobaan #309: Waktu = 32 ms, Langkah = 420
Percobaan #310: Waktu = 23 ms, Langkah = 364
Percobaan #311: Waktu = 31 ms, Langkah = 412
Percobaan #312: Waktu = 30 ms, Langkah = 403
Percobaan #313: Waktu = 30 ms, Langkah = 391
Percobaan #314: Waktu = 27 ms, Langkah = 394
Percobaan #315: Waktu = 27 ms, Langkah = 403
Percobaan #316: Waktu = 27 ms, Langkah = 412
Percobaan #317: Waktu = 26 ms, Langkah = 395
Percobaan #318: Waktu = 26 ms, Langkah = 374
Percobaan #319: Waktu = 28 ms, Langkah = 348
Percobaan #320: Waktu = 28 ms, Langkah = 385
Percobaan #321: Waktu = 28 ms, Langkah = 396
Percobaan #322: Waktu = 26 ms, Langkah = 365
Percobaan #323: Waktu = 27 ms, Langkah = 383
Percobaan #324: Waktu = 27 ms, Langkah = 397
Percobaan #325: Waktu = 29 ms, Langkah = 424
